,name,resource,category,homepage,description,projectrank,show,license,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,gitlab_id,gitlab_url,updated_github_id,docs_url,ignore
226,calorine,,ml-iap,https://calorine.materialsmodeling.org/,A Python package for constructing and sampling neuroevolution potential models. https://doi.org/10.21105/joss.06264.,11,True,https://gitlab.com/materials-modeling/calorine/-/blob/master/LICENSE,,,,2021-04-23 16:12:56,2024-10-25 17:59:39.000000,,,,4.0,,,7.0,86.0,14.0,2024-07-26 09:35:09.000,2.3.1,15.0,,calorine,,4.0,,https://pypi.org/project/calorine,2024-10-25 17:59:39.000,4.0,2365.0,2365.0,,,,2.0,,,,,,,,,,,,,,,,,materials-modeling/calorine,https://gitlab.com/materials-modeling/calorine,,,
227,OBELiX,,datasets,https://github.com/NRC-Mila/OBELiX,A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State..,11,True,,"['experimental-data', 'transport-phenomena']",NRC-Mila/OBELiX,https://github.com/NRC-Mila/OBELiX,2025-02-07 20:00:55,2025-04-08 17:03:53.000000,2025-04-08 17:03:46,123.0,53.0,3.0,2.0,5.0,,,13.0,2025-03-17 15:42:03.000,1.1.1,4.0,5.0,obelix-data,,,,https://pypi.org/project/obelix-data,2025-03-17 15:42:03.000,,366.0,366.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
228,pretrained-gnns,,rep-learn,https://github.com/snap-stanford/pretrain-gnns,Strategies for Pre-training Graph Neural Networks.,10,False,MIT,['pretrained'],snap-stanford/pretrain-gnns,https://github.com/snap-stanford/pretrain-gnns,2020-01-30 22:12:41,2023-07-29 06:21:39.000000,2023-07-29 06:21:39,13.0,,166.0,17.0,8.0,35.0,29.0,1001.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
229,GNoME Explorer,,community,https://next-gen.materialsproject.org/materials/gnome,Graph Networks for Materials Exploration Database.,10,True,Apache-2.0,"['datasets', 'materials-discovery']",google-deepmind/materials_discovery,https://github.com/google-deepmind/materials_discovery,2023-11-28 10:29:51,2025-03-03 17:55:30.000000,2025-03-03 17:49:03,13.0,1.0,157.0,48.0,7.0,21.0,4.0,975.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
230,Materials Discovery: GNoME,,materials-discovery,https://github.com/google-deepmind/materials_discovery,"Graph Networks for Materials Science (GNoME) and dataset of 381,000 novel stable materials.",10,True,Apache-2.0,"['uip', 'datasets', 'rep-learn', 'proprietary']",google-deepmind/materials_discovery,https://github.com/google-deepmind/materials_discovery,2023-11-28 10:29:51,2025-03-03 17:55:30.000000,2025-03-03 17:49:03,13.0,1.0,157.0,48.0,7.0,21.0,4.0,975.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
231,OpenChem,,general-tool,https://github.com/Mariewelt/OpenChem,OpenChem: Deep Learning toolkit for Computational Chemistry and Drug Design Research.,10,False,MIT,,Mariewelt/OpenChem,https://github.com/Mariewelt/OpenChem,2018-07-10 01:27:33,2023-11-26 05:03:36.000000,2022-04-27 19:27:40,444.0,,115.0,36.0,12.0,15.0,2.0,704.0,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
232,GDC,,rep-learn,https://github.com/gasteigerjo/gdc,"Graph Diffusion Convolution, as proposed in Diffusion Improves Graph Learning (NeurIPS 2019).",10,False,MIT,['generative'],gasteigerjo/gdc,https://github.com/gasteigerjo/gdc,2019-10-26 16:05:11,2023-04-26 14:22:40.000000,2023-04-26 14:22:40,28.0,,42.0,3.0,1.0,,11.0,270.0,,,,3.0,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
233,MolSkill,,language-models,https://github.com/microsoft/molskill,Extracting medicinal chemistry intuition via preference machine learning.,10,False,MIT,"['drug-discovery', 'recommender']",microsoft/molskill,https://github.com/microsoft/molskill,2023-01-12 13:48:31,2025-03-25 16:28:35.902000,2023-10-31 17:03:36,81.0,,11.0,5.0,8.0,2.0,4.0,105.0,2023-08-04 12:22:15.000,1.2b,5.0,4.0,,msr-ai4science/molskill,,,,,,,14.0,https://anaconda.org/msr-ai4science/molskill,2025-03-25 16:28:35.902,370.0,3.0,,,,,,,,,,,,,,,,,,,,,
234,Grad DFT,,ml-dft,https://github.com/XanaduAI/GradDFT,GradDFT is a JAX-based library enabling the differentiable design and experimentation of exchange-correlation..,10,False,Apache-2.0,,XanaduAI/GradDFT,https://github.com/XanaduAI/GradDFT,2023-05-15 16:18:25,2024-02-13 16:05:53.000000,2024-02-13 16:05:51,419.0,,9.0,5.0,44.0,11.0,43.0,86.0,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
235,jarvis-tools-notebooks,,educational,https://github.com/JARVIS-Materials-Design/jarvis-tools-notebooks,A Google-Colab Notebook Collection for Materials Design: https://jarvis.nist.gov/.,10,True,NIST,,JARVIS-Materials-Design/jarvis-tools-notebooks,https://github.com/JARVIS-Materials-Design/jarvis-tools-notebooks,2020-06-27 20:22:02,2025-01-23 02:17:18.000000,2025-01-23 02:17:18,839.0,23.0,31.0,3.0,50.0,1.0,,80.0,,,,6.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
236,GRACE,,uip,https://github.com/ICAMS/grace-tensorpotential,GRACE models and gracemaker (as implemented in TensorPotential package).,10,True,https://github.com/ICAMS/grace-tensorpotential/blob/master/LICENSE.md,"['ml-iap', 'pretrained', 'md', 'rep-learn', 'rep-eng']",ICAMS/grace-tensorpotential,https://github.com/ICAMS/grace-tensorpotential,2024-09-12 10:21:02,2025-04-02 16:31:21.000000,2025-04-02 16:31:21,69.0,12.0,3.0,1.0,3.0,3.0,1.0,56.0,2025-03-10 13:34:15.000,0.5.1,6.0,3.0,,,2.0,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
237,OpenEquivariance,,math,https://github.com/PASSIONLab/OpenEquivariance,"OpenEquivariance: a fast, open-source GPU JIT kernel generator for the Clebsch-Gordon Tensor Product.",10,True,BSD-3-Clause,['rep-learn'],PASSIONLab/OpenEquivariance,https://github.com/PASSIONLab/OpenEquivariance,2024-07-28 05:02:35,2025-04-10 17:51:02.000000,2025-04-10 17:50:57,145.0,41.0,3.0,6.0,73.0,1.0,7.0,47.0,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
238,pair_nequip,,md,https://github.com/mir-group/pair_nequip,LAMMPS pair style for NequIP.,10,True,MIT,"['ml-iap', 'rep-learn']",mir-group/pair_nequip,https://github.com/mir-group/pair_nequip,2021-04-02 15:28:02,2024-06-05 17:06:39.000000,2024-06-05 17:06:39,101.0,,13.0,9.0,8.0,13.0,20.0,44.0,2022-05-20 00:39:04.000,0.5.2,4.0,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
239,Atom2Vec,,rep-learn,https://github.com/idocx/Atom2Vec,Atom2Vec: a simple way to describe atoms for machine learning.,10,False,MIT,,idocx/Atom2Vec,https://github.com/idocx/Atom2Vec,2020-01-18 23:31:47,2024-02-23 21:44:03.000000,2024-02-23 21:43:58,4.0,,9.0,1.0,1.0,3.0,1.0,37.0,2024-02-23 21:43:41.000,1.1.0,2.0,1.0,atom2vec,,5.0,5.0,https://pypi.org/project/atom2vec,2024-02-23 21:43:41.000,,98.0,98.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
240,NeuralXC,,ml-dft,https://github.com/semodi/neuralxc,Implementation of a machine learned density functional.,10,False,BSD-3-Clause,,semodi/neuralxc,https://github.com/semodi/neuralxc,2019-03-14 18:13:40,2024-06-17 22:55:40.000000,2021-07-05 21:36:23,337.0,,10.0,4.0,10.0,5.0,5.0,36.0,,,3.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
241,CHIPS-FF,,uip,https://github.com/usnistgov/chipsff,Evaluation of universal machine learning force-fields https://arxiv.org/abs/2412.10516.,10,True,https://github.com/usnistgov/chipsff/blob/main/LICENSE.rst,"['benchmarking', 'structure-optimization', 'md', 'materials-discovery', 'transport-phenomena']",usnistgov/chipsff,https://github.com/usnistgov/chipsff,2024-04-02 17:22:32,2025-02-06 21:18:44.000000,2025-02-06 21:18:44,213.0,28.0,4.0,2.0,11.0,,1.0,34.0,2024-12-11 23:18:42.000,2024.11.30,1.0,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
242,iam-notebooks,,educational,https://github.com/ceriottm/iam-notebooks,Jupyter notebooks for the lectures of the Introduction to Atomistic Modeling.,10,True,Apache-2.0,,ceriottm/iam-notebooks,https://github.com/ceriottm/iam-notebooks,2020-11-23 21:27:41,2025-02-27 22:30:23.000000,2025-01-07 15:02:36,245.0,,5.0,4.0,7.0,6.0,,28.0,,,,6.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
243,Point Edge Transformer (PET),,ml-iap,https://github.com/spozdn/pet,Point Edge Transformer.,10,True,MIT,"['rep-learn', 'transformer']",spozdn/pet,https://github.com/spozdn/pet,2023-02-08 18:36:10,2025-03-18 17:31:14.000000,2025-03-18 17:31:14,258.0,7.0,6.0,3.0,14.0,5.0,,26.0,,,,9.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
244,AIS Square,,datasets,https://github.com/deepmodeling/AIS-Square,"A collaborative and open-source platform for sharing AI for Science datasets, models, and workflows. Home of the..",10,True,LGPL-3.0,"['community', 'model-repository']",deepmodeling/AIS-Square,https://github.com/deepmodeling/AIS-Square,2022-09-13 09:52:30,2025-04-07 04:03:04.000000,2025-04-07 04:03:04,956.0,200.0,8.0,8.0,210.0,5.0,1.0,13.0,,,,8.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
245,DeepModeling Projects,,community,https://github.com/deepmodeling/deepmodeling-projects,DeepModeling projects.,10,True,CC-BY-4.0,,deepmodeling/deepmodeling-projects,https://github.com/deepmodeling/deepmodeling-projects,2023-10-31 02:20:45,2025-04-10 18:04:17.000000,2025-04-04 16:49:58,177.0,25.0,2.0,3.0,90.0,,,6.0,2025-04-05 12:12:17.000,2025.04.03,76.0,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
246,SE(3)-Transformers,,rep-learn,https://github.com/FabianFuchsML/se3-transformer-public,code for the SE3 Transformers paper: https://arxiv.org/abs/2006.10503.,9,False,MIT,"['single-paper', 'transformer']",FabianFuchsML/se3-transformer-public,https://github.com/FabianFuchsML/se3-transformer-public,2020-08-31 10:36:57,2023-07-10 05:13:25.000000,2021-11-18 09:11:56,63.0,,69.0,17.0,5.0,11.0,17.0,516.0,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
247,EDM,,generative,https://github.com/ehoogeboom/e3_diffusion_for_molecules,E(3) Equivariant Diffusion Model for Molecule Generation in 3D.,9,False,MIT,,ehoogeboom/e3_diffusion_for_molecules,https://github.com/ehoogeboom/e3_diffusion_for_molecules,2022-04-15 14:34:35,2022-07-10 17:56:18.000000,2022-07-10 17:56:12,6.0,,116.0,8.0,,3.0,37.0,484.0,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
248,Awesome Materials Informatics,,community,https://github.com/tilde-lab/awesome-materials-informatics,"Curated list of known efforts in materials informatics, i.e. in modern materials science.",9,True,https://github.com/tilde-lab/awesome-materials-informatics#license,,tilde-lab/awesome-materials-informatics,https://github.com/tilde-lab/awesome-materials-informatics,2018-02-15 15:14:16,2024-09-18 13:34:19.000000,2024-09-18 13:34:19,139.0,,90.0,16.0,56.0,1.0,8.0,431.0,2023-03-02 19:56:59.000,2023.03.02,1.0,19.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
249,DimeNet,,ml-iap,https://github.com/gasteigerjo/dimenet,"DimeNet and DimeNet++ models, as proposed in Directional Message Passing for Molecular Graphs (ICLR 2020) and Fast and..",9,False,https://github.com/gasteigerjo/dimenet/blob/master/LICENSE.md,,gasteigerjo/dimenet,https://github.com/gasteigerjo/dimenet,2020-02-14 12:40:15,2023-10-03 09:57:19.000000,2023-10-03 09:57:19,103.0,,64.0,3.0,,1.0,31.0,316.0,,,,2.0,,,1.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
250,MoLFormers UI,,community,https://molformer.res.ibm.com/,A family of foundation models trained on chemicals.,9,False,Apache-2.0,"['transformer', 'language-models', 'pretrained', 'drug-discovery']",IBM/molformer,https://github.com/IBM/molformer,2022-11-07 18:48:17,2023-10-16 16:34:25.000000,2023-10-16 16:33:13,7.0,,49.0,10.0,3.0,11.0,10.0,302.0,,,,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
251,MoLFormer,,language-models,https://github.com/IBM/molformer,Repository for MolFormer.,9,False,Apache-2.0,"['transformer', 'pretrained', 'drug-discovery']",IBM/molformer,https://github.com/IBM/molformer,2022-11-07 18:48:17,2023-10-16 16:34:25.000000,2023-10-16 16:33:13,7.0,,49.0,10.0,3.0,11.0,10.0,302.0,,,,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
252,SchNet,,ml-iap,https://github.com/atomistic-machine-learning/SchNet,SchNet - a deep learning architecture for quantum chemistry.,9,False,MIT,,atomistic-machine-learning/SchNet,https://github.com/atomistic-machine-learning/SchNet,2017-10-03 11:52:20,2018-09-04 08:42:35.000000,2018-09-04 08:42:34,53.0,,68.0,16.0,,1.0,2.0,245.0,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
253,GemNet,,ml-iap,https://github.com/TUM-DAML/gemnet_pytorch,"GemNet model in PyTorch, as proposed in GemNet: Universal Directional Graph Neural Networks for Molecules (NeurIPS..",9,False,https://github.com/TUM-DAML/gemnet_pytorch/blob/master/LICENSE,,TUM-DAML/gemnet_pytorch,https://github.com/TUM-DAML/gemnet_pytorch,2021-10-11 07:30:36,2023-04-26 14:20:12.000000,2023-04-26 14:20:12,36.0,,29.0,3.0,1.0,,14.0,196.0,,,,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
254,DeePKS-kit,,ml-dft,https://github.com/deepmodeling/deepks-kit,a package for developing machine learning-based chemically accurate energy and density functional models.,9,True,LGPL-3.0,['ml-functional'],deepmodeling/deepks-kit,https://github.com/deepmodeling/deepks-kit,2020-07-29 03:27:50,2024-09-28 05:44:36.000000,2024-04-13 03:44:40,384.0,,36.0,13.0,47.0,10.0,17.0,107.0,,,,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
255,MoleculeNet Leaderboard,,datasets,https://github.com/deepchem/moleculenet,,9,False,MIT,['benchmarking'],deepchem/moleculenet,https://github.com/deepchem/moleculenet,2020-02-24 18:14:05,2021-04-29 19:51:06.000000,2021-04-29 19:51:06,78.0,,21.0,4.0,15.0,24.0,5.0,98.0,,,,6.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
256,tinker-hp,,ml-iap,https://github.com/TinkerTools/tinker-hp,Tinker-HP: High-Performance Massively Parallel Evolution of Tinker on CPUs & GPUs.,9,True,https://github.com/TinkerTools/tinker-hp/blob/master/license-Tinker.pdf,,TinkerTools/tinker-hp,https://github.com/TinkerTools/tinker-hp,2018-06-12 12:15:51,2024-10-26 14:01:01.000000,2024-10-26 14:00:23,575.0,,22.0,12.0,2.0,5.0,20.0,87.0,2019-11-24 16:21:50.000,published-version-V1,1.0,12.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
257,GATGNN: Global Attention Graph Neural Network,,rep-learn,https://github.com/superlouis/GATGNN,Pytorch Repository for our work: Graph convolutional neural networks with global attention for improved materials..,9,True,MIT,,superlouis/GATGNN,https://github.com/superlouis/GATGNN,2020-06-21 03:27:36,2024-12-17 04:07:15.000000,2024-12-17 04:07:14,100.0,,17.0,7.0,,4.0,3.0,76.0,2021-04-05 06:49:29.000,0.2,2.0,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
258,ACE.jl,,ml-iap,https://github.com/ACEsuit/ACE.jl,Parameterisation of Equivariant Properties of Particle Systems.,9,True,https://github.com/ACEsuit/ACE.jl/blob/main/license/mit.md,['lang-julia'],ACEsuit/ACE.jl,https://github.com/ACEsuit/ACE.jl,2019-11-30 16:22:51,2024-12-17 23:48:29.000000,2024-12-17 23:46:28,917.0,,15.0,7.0,66.0,24.0,58.0,65.0,,,,12.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
259,PROPhet,,ml-dft,https://github.com/biklooost/PROPhet,PROPhet is a code to integrate machine learning techniques with first-principles quantum chemistry approaches.,9,False,GPL-3.0,"['ml-iap', 'md', 'single-paper', 'lang-cpp']",biklooost/PROPhet,https://github.com/biklooost/PROPhet,2016-09-16 16:21:06,2018-04-19 02:09:46.000000,2018-04-19 02:00:46,120.0,,26.0,14.0,6.0,9.0,7.0,65.0,2018-04-15 16:55:15.000,1.2,3.0,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
260,Finetuna,,active-learning,https://github.com/ulissigroup/finetuna,Active Learning for Machine Learning Potentials.,9,True,MIT,,ulissigroup/finetuna,https://github.com/ulissigroup/finetuna,2020-09-22 14:39:52,2024-05-15 17:26:24.000000,2024-05-15 17:25:23,1200.0,,12.0,1.0,40.0,5.0,15.0,54.0,,,,11.0,,,1.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
261,DeepErwin,,ml-wft,https://github.com/mdsunivie/deeperwin,DeepErwin is a python 3.8+ package that implements and optimizes JAX 2.x wave function models for numerical solutions..,9,True,https://github.com/mdsunivie/deeperwin/blob/master/LICENSE,,mdsunivie/deeperwin,https://github.com/mdsunivie/deeperwin,2021-06-14 15:18:32,2024-12-19 14:04:54.000000,2024-12-19 14:04:48,69.0,,8.0,1.0,5.0,,11.0,54.0,2024-03-25 13:47:47.000,transferable_atomic_orbitals,6.0,9.0,deeperwin,,2.0,2.0,https://pypi.org/project/deeperwin,2021-12-14 11:03:19.657,,165.0,165.0,,,,2.0,,,,,,15.0,,,,,,,,,,,,,,,
262,DSECOP,,educational,https://github.com/GDS-Education-Community-of-Practice/DSECOP,This repository contains data science educational materials developed by DSECOP Fellows.,9,True,CCO-1.0,,GDS-Education-Community-of-Practice/DSECOP,https://github.com/GDS-Education-Community-of-Practice/DSECOP,2022-03-07 17:47:33,2024-06-26 14:49:22.000000,2024-06-26 14:49:19,555.0,,26.0,10.0,25.0,1.0,7.0,50.0,,,,14.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
263,DeepMD-GNN,,ml-iap,https://github.com/deepmodeling/deepmd-gnn,DeePMD-kit plugin for various graph neural network models.,9,True,LGPL-3.0,"['rep-learn', 'md', 'uip', 'lang-cpp']",deepmodeling/deepmd-gnn,https://github.com/deepmodeling/deepmd-gnn,2024-08-21 21:01:06,2025-04-07 20:06:37.000000,2025-03-28 07:30:04,48.0,7.0,6.0,1.0,53.0,5.0,1.0,40.0,2025-03-05 10:58:22.000,0.1.1,2.0,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
264,ALF,,ml-iap,https://github.com/lanl/ALF,A framework for performing active learning for training machine-learned interatomic potentials.,9,True,https://github.com/lanl/ALF/blob/main/LICENSE,['active-learning'],lanl/alf,https://github.com/lanl/ALF,2023-01-04 23:13:24,2025-04-09 17:44:07.000000,2025-03-28 13:28:33,153.0,3.0,12.0,7.0,28.0,,,32.0,,,,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
265,lie-nn,,math,https://github.com/lie-nn/lie-nn,Tools for building equivariant polynomials on reductive Lie groups.,9,False,MIT,['rep-learn'],lie-nn/lie-nn,https://github.com/lie-nn/lie-nn,2022-04-01 18:02:49,2023-06-29 19:38:34.000000,2023-06-20 22:30:53,249.0,,2.0,7.0,3.0,1.0,,30.0,2023-06-20 22:31:12.000,0.0.0,1.0,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
266,PACE,,md,https://github.com/ICAMS/lammps-user-pace,"The LAMMPS ML-IAP `pair_style pace`, aka Atomic Cluster Expansion (ACE), aka ML-PACE,..",9,True,https://github.com/ICAMS/lammps-user-pace/blob/main/LICENSE,,ICAMS/lammps-user-pace,https://github.com/ICAMS/lammps-user-pace,2021-02-25 10:04:48,2025-01-08 14:34:48.000000,2024-12-17 09:53:39,63.0,,12.0,5.0,18.0,2.0,6.0,29.0,2025-01-08 14:34:49.000,.2023.11.25.fix2,9.0,8.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
267,ACE1.jl,,ml-iap,https://acesuit.github.io/,Atomic Cluster Expansion for Modelling Invariant Atomic Properties.,9,True,https://github.com/ACEsuit/ACE1.jl/blob/main/ASL.md,['lang-julia'],ACEsuit/ACE1.jl,https://github.com/ACEsuit/ACE1.jl,2022-01-14 19:52:49,2024-09-11 23:05:47.000000,2024-09-11 23:05:45,561.0,,7.0,5.0,31.0,22.0,24.0,22.0,,,,9.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
268,Q-stack,,ml-dft,https://github.com/lcmd-epfl/Q-stack,Stack of codes for dedicated pre- and post-processing tasks for Quantum Machine Learning (QML).,9,True,MIT,"['excited-states', 'general-tool']",lcmd-epfl/Q-stack,https://github.com/lcmd-epfl/Q-stack,2021-10-20 15:33:26,2025-04-09 10:05:47.000000,2025-04-09 10:05:38,444.0,8.0,5.0,1.0,54.0,10.0,24.0,18.0,,,1.0,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
269,ACEhamiltonians,,ml-dft,https://github.com/ACEsuit/ACEhamiltonians.jl,"Provides tools for constructing, fitting, and predicting self-consistent Hamiltonian and overlap matrices in solid-..",9,False,MIT,['lang-julia'],ACEsuit/ACEhamiltonians.jl,https://github.com/ACEsuit/ACEhamiltonians.jl,2022-01-17 20:54:22,2024-12-02 16:55:05.000000,2023-04-12 15:04:14,33.0,,7.0,5.0,42.0,2.0,3.0,16.0,2024-02-07 16:35:47.000,0.1.0,2.0,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
270,OPTIMADE Tutorial Exercises,,educational,https://github.com/Materials-Consortia/optimade-tutorial-exercises,Tutorial exercises for the OPTIMADE API.,9,False,MIT,['datasets'],Materials-Consortia/optimade-tutorial-exercises,https://github.com/Materials-Consortia/optimade-tutorial-exercises,2021-08-25 17:33:15,2023-09-27 08:32:31.000000,2023-09-27 08:32:30,49.0,,7.0,11.0,15.0,,3.0,15.0,2023-06-12 07:47:14.000,2.0.1,5.0,6.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
271,Asparagus,,ml-iap,https://github.com/MMunibas/Asparagus,"Program Package for Sampling, Training and Applying ML-based Potential models https://doi.org/10.48550/arXiv.2407.15175.",9,True,MIT,"['workflows', 'sampling', 'md']",MMunibas/Asparagus,https://github.com/MMunibas/Asparagus,2024-07-08 13:44:56,2025-04-09 13:24:58.000000,2025-04-09 13:24:52,115.0,25.0,3.0,1.0,5.0,,,11.0,,,3.0,9.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
272,Materials Data Facility (MDF),,datasets,https://www.materialsdatafacility.org,"A simple way to publish, discover, and access materials datasets. Publication of very large datasets supported (e.g.,..",9,False,Apache-2.0,,materials-data-facility/connect_client,https://github.com/materials-data-facility/connect_client,2018-09-12 20:49:58,2024-03-10 03:11:45.000000,2024-02-05 22:48:40,158.0,,1.0,3.0,35.0,1.0,6.0,10.0,2024-02-05 22:49:58.000,0.5.0,23.0,7.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
273,NNsforMD,,ml-iap,https://github.com/aimat-lab/NNsForMD,"Neural network class for molecular dynamics to predict potential energy, forces and non-adiabatic couplings.",9,False,MIT,,aimat-lab/NNsForMD,https://github.com/aimat-lab/NNsForMD,2020-08-31 11:14:18,2022-11-10 13:04:49.000000,2022-11-10 13:04:45,265.0,,6.0,2.0,,,,10.0,2022-04-12 15:15:00.183,2.0.0,5.0,2.0,pyNNsMD,,2.0,2.0,https://pypi.org/project/pyNNsMD,2022-04-12 15:15:00.183,,96.0,96.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
274,optimade.science,,community,https://optimade.science,A sky-scanner Optimade browser-only GUI.,9,True,MIT,['datasets'],tilde-lab/optimade.science,https://github.com/tilde-lab/optimade.science,2019-06-08 14:10:54,2024-06-10 12:03:39.000000,2024-06-10 12:03:39,247.0,,3.0,3.0,32.0,7.0,19.0,8.0,2023-03-02 20:13:25.000,2.0.0,1.0,8.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
275,2DMD dataset,,datasets,https://github.com/HSE-LAMBDA/ai4material_design/blob/main/docs/DATA.md,"Code for Kazeev, N., Al-Maeeni, A.R., Romanov, I. et al. Sparse representation for machine learning the properties of..",9,False,Apache-2.0,['material-defect'],HSE-LAMBDA/ai4material_design,https://github.com/HSE-LAMBDA/ai4material_design,2021-03-25 10:06:20,2023-11-21 11:30:42.000000,2023-11-21 11:30:33,1118.0,,3.0,8.0,28.0,,12.0,7.0,,,,11.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
276,ACEfit,,ml-iap,https://github.com/ACEsuit/ACEfit.jl,,9,True,MIT,['lang-julia'],ACEsuit/ACEfit.jl,https://github.com/ACEsuit/ACEfit.jl,2022-01-01 00:09:17,2024-09-14 11:29:30.000000,2024-09-14 11:17:37,266.0,,7.0,4.0,31.0,22.0,35.0,7.0,,,,8.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
277,ai4material_design,,rep-learn,https://github.com/HSE-LAMBDA/ai4material_design,"Code for Kazeev, N., Al-Maeeni, A.R., Romanov, I. et al. Sparse representation for machine learning the properties of..",9,False,Apache-2.0,"['pretrained', 'material-defect']",HSE-LAMBDA/ai4material_design,https://github.com/HSE-LAMBDA/ai4material_design,2021-03-25 10:06:20,2023-11-21 11:30:42.000000,2023-11-21 11:30:33,1118.0,,3.0,8.0,28.0,,12.0,7.0,,,,11.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
278,Awesome Neural Geometry,,community,https://github.com/neurreps/awesome-neural-geometry,"A curated collection of resources and research related to the geometry of representations in the brain, deep networks,..",8,True,,"['educational', 'rep-learn']",neurreps/awesome-neural-geometry,https://github.com/neurreps/awesome-neural-geometry,2022-07-31 01:19:57,2025-02-18 18:26:50.000000,2025-02-18 18:26:50,128.0,1.0,63.0,31.0,14.0,,1.0,965.0,,,,13.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
